"gender","age","population"
"F",0,5095
"F",1,4754
"F",2,4852
"F",3,4724
"F",4,4714
"F",5,4750
"F",6,4660
"F",7,4403
"F",8,4567
"F",9,4491
"F",10,4768
"F",11,4471
"F",12,4511
"F",13,4491
"F",14,4753
"F",15,4894
"F",16,4669
"F",17,4603
"F",18,4874
"F",19,5121
"F",20,4963
"F",21,4818
"F",22,4825
"F",23,4714
"F",24,4747
"F",25,4564
"F",26,4444
"F",27,4542
"F",28,4835
"F",29,4641
"F",30,5002
"F",31,4815
"F",32,4621
"F",33,4557
"F",34,4261
"F",35,4278
"F",36,3877
"F",37,3875
"F",38,4050
"F",39,4005
"F",40,3956
"F",41,3507
"F",42,3478
"F",43,3440
"F",44,3243
"F",45,3332
"F",46,3351
"F",47,3346
"F",48,3258
"F",49,3149
"F",50,3368
"F",51,3212
"F",52,3197
"F",53,3138
"F",54,3033
"F",55,3198
"F",56,2935
"F",57,2966
"F",58,3078
"F",59,2961
"F",60,3016
"F",61,2733
"F",62,2624
"F",63,2534
"F",64,2467
"F",65,2490
"F",66,2206
"F",67,2120
"F",68,2052
"F",69,2072
"F",70,2166
"F",71,1838
"F",72,1729
"F",73,1695
"F",74,1677
"F",75,1673
"F",76,1546
"F",77,1481
"F",78,1514
"F",79,1484
"F",80,1423
"F",81,1214
"F",82,1143
"F",83,1019
"F",84,924
"F",85,836
"F",86,727
"F",87,589
"F",88,512
"F",89,434
"F",90,342
"F",91,218
"F",92,191
"F",93,158
"F",94,133
"F",95,97
"F",96,74
"F",97,34
"F",98,34
"F",99,15
"F",100,15
"F",101,9
"F",102,3
"F",103,2
"F",104,2
"F",105,2
"F",110,3
"M",0,5268
"M",1,5025
"M",2,5029
"M",3,4760
"M",4,4828
"M",5,4842
"M",6,4818
"M",7,4703
"M",8,4699
"M",9,4732
"M",10,4782
"M",11,4675
"M",12,4610
"M",13,4532
"M",14,5132
"M",15,4807
"M",16,4802
"M",17,4703
"M",18,4810
"M",19,5013
"M",20,5002
"M",21,4808
"M",22,4694
"M",23,4668
"M",24,4815
"M",25,4534
"M",26,4379
"M",27,4373
"M",28,4768
"M",29,4525
"M",30,4834
"M",31,4610
"M",32,4512
"M",33,4552
"M",34,4214
"M",35,4156
"M",36,3935
"M",37,3940
"M",38,3838
"M",39,3834
"M",40,3733
"M",41,3325
"M",42,3214
"M",43,3154
"M",44,3100
"M",45,3218
"M",46,3084
"M",47,3126
"M",48,3011
"M",49,2996
"M",50,3287
"M",51,2839
"M",52,2803
"M",53,2894
"M",54,2912
"M",55,2659
"M",56,2720
"M",57,2577
"M",58,2679
"M",59,2446
"M",60,2508
"M",61,2290
"M",62,2410
"M",63,2286
"M",64,2044
"M",65,2054
"M",66,1862
"M",67,1766
"M",68,1637
"M",69,1486
"M",70,1567
"M",71,1405
"M",72,1241
"M",73,1227
"M",74,1134
"M",75,1115
"M",76,945
"M",77,948
"M",78,889
"M",79,882
"M",80,794
"M",81,659
"M",82,612
"M",83,541
"M",84,427
"M",85,433
"M",86,336
"M",87,242
"M",88,211
"M",89,172
"M",90,168
"M",91,83
"M",92,57
"M",93,51
"M",94,43
"M",95,15
"M",96,13
"M",97,12
"M",98,6
"M",99,4
"M",100,6
"M",102,1
"M",108,1
"M",109,2
"M",110,5
