stop_id,stop_code,stop_name,stop_lat,stop_lon
"620211018","620211018","Cabecera Pilar II",-41.189470,-71.340458
"620211101","620211101","Cabecera Pilar II",-41.189468,-71.340458
"620211017","620211017","Acceso Dos Valles",-41.184970,-71.344160
"620211102","620211102","Acceso Dos Valles",-41.184968,-71.344160
"620211104","620211104","A. Acevedo y 15 de Febrero",-41.182820,-71.350350
"620211015","620211015","A. Acevedo y 15 de Febrero",-41.182780,-71.350260
"620211105","620211105","15 de febrero y Centinela del Bosque",-41.182205,-71.350967
"620211014","620211014","15 de febrero y Centinela del Bosque",-41.182030,-71.351040
"620211016","620211016","Acceso a Pilar II y Angélica Acevedo",-41.181570,-71.347000
"620211103","620211103","Angélica Acevedo y Acceso a Pilar II",-41.181565,-71.347487
"620211013","620211013","15 de Febrero y El Ventana",-41.180770,-71.351578
"620215013","620215013","RN 40 y De Los Pañiles",-41.179810,-71.365940
"620215012","620215012","RN 40 y De Los Pañiles",-41.179772,-71.365790
"620211334","620211334","De Los Pañiles y RN 40",-41.179440,-71.366437
"620211207","620211207","De Los Pañiles y RN 40",-41.179360,-71.366435
"620211106","620211106","15 de febrero y Primeros Pobladores",-41.179232,-71.352228
"620211012","620211012","15 de febrero y Primeros Pobladores",-41.179183,-71.352250
"620211011","620211011","Vicente Robles y San Juan Bosco",-41.178260,-71.351190
"620211107","620211107","Vicente Robles y San Juan Bosco",-41.178258,-71.351190
"620210542","620210542","RN 82 y Rotonda de Ruta 82",-41.178112,-71.384512
"620211341","620211341","RN 82 y Rotonda de Ruta 82",-41.177957,-71.383865
"620211203","620211203","Av. Cerro Catedral y De las Grosellas",-41.177802,-71.382982
"620211333","620211333","RN 40 Km.2029",-41.177618,-71.357283
"620211208","620211208","RN 40 Km.2029",-41.177570,-71.357090
"620211206","620211206","De Los Pañiles y Av. Tronador",-41.177368,-71.366340
"620211204","620211204","Av. Cerro Catedral y De Los Amancay",-41.177322,-71.380423
"620211340","620211340","Av. Cerro Catedral y De Los Amancay",-41.177252,-71.380065
"620211342","620211342","RP 82 Km.5.500",-41.176967,-71.388593
"620211202","620211202","RP 82 Km.5.500",-41.176850,-71.388770
"620211335","620211335","De Los Pañiles y Av. Cerro Catedral",-41.176770,-71.366310
"620211010","620211010","Acceso Pilar II y San Juan Bosco",-41.176578,-71.351158
"620211205","620211205","Av. Cerro Catedral y De las Frambuesas",-41.176410,-71.375753
"620211339","620211339","Av. Cerro Catedral y De las Frambuesas",-41.176395,-71.375680
"620211332","620211332","RN 40 y Acceso Pilar II",-41.176020,-71.350953
"620211209","620211209","RN 40 y Acceso Pilar II",-41.176008,-71.350908
"620215025","620215025","RP 82 Km.6",-41.175380,-71.390358
"620211343","620211343","RP 82 Km.6",-41.175312,-71.390405
"620211210","620211210","RN 40 Km.2030",-41.175125,-71.347537
"620211331","620211331","RN 40 Km.2030",-41.175102,-71.347457
"620211110","620211110","RN 40 y Hormigonera",-41.174605,-71.345727
"620211330","620211330","RN 40 y Hormigonera",-41.174578,-71.345635
"620215023","620215023","De los Pañiles y De los Espinos",-41.174192,-71.366207
"620211336","620211336","De Los Pañiles y De Los Espinos",-41.174032,-71.366268
"620215045","620215045","RP 82 Playa Lago Gutiérrez",-41.173772,-71.391947
"620215046","620215046","RP 82 Playa Lago Gutiérrez",-41.173590,-71.392140
"620211436","620211436","José Luckman y Roca Negra",-41.173512,-71.315930
"6202115090","6202115090","B° El Maiten - Cancha",-41.173500,-71.326330
"6202115030","6202115030","José Luckman y Roca Negra",-41.173477,-71.315968
"620211430","620211430","B° El Maiten - Cancha",-41.173380,-71.326160
"6202115020","6202115020","Nehuen y Roca Negra",-41.173018,-71.314917
"620211212","620211212","RN 40 y Rotonda Av. Juan Herman",-41.173002,-71.340315
"620211329","620211329","RN 40 y Rotonda Av. Juan Herman",-41.172970,-71.340210
"620211437","620211437","Nehuen y Roca Negra",-41.172952,-71.314815
"620211431","620211431","Hoyo de Epuyen y Aguada de Guerra",-41.172710,-71.325090
"6202115080","6202115080","Hoyo de Epuyen y Aguada de Guerra",-41.172708,-71.325090
"6202115060","6202115060","Isla del Tigre y José Obrero",-41.172648,-71.320680
"620211433","620211433","Isla del Tigre y José Obrero",-41.172632,-71.320698
"620211429","620211429","La Fragua y Las Bayas",-41.172630,-71.327580
"6202115100","6202115100","La Fragua y Chacay Hua-Ruca",-41.172560,-71.327600
"6202115050","6202115050","José Obrero y Paso de Los Vuriloche",-41.172187,-71.319627
"620211434","620211434","José Obrero y Paso de Los Vuriloche",-41.172095,-71.319485
"620214401","620214401","Acceso a Cerro Catedral y Nubes",-41.171877,-71.437288
"620214524","620214524","Acceso a Cerro Catedral y Nubes",-41.171837,-71.437237
"620210541","620210541","RP 82 Acceso Arelauquen",-41.171693,-71.393837
"6202112130","6202112130","Av. Juan Herman y Rotonda RN 40",-41.171488,-71.335188
"620211328","620211328","Av. Juan Herman y Rotonda RN 40",-41.171475,-71.335143
"6202114380","6202114380","Nehuen y Gdor. Vernet",-41.171470,-71.316432
"620210601","620210601","RP 82 Acceso Arelauquen",-41.171462,-71.393987
"620211435","620211435","José Obrero y José Luckman",-41.171460,-71.318218
"620211432","620211432","Hoyo de Epuyen e Isla del Tigre",-41.171458,-71.322735
"6202115070","6202115070","Hoyo de Epuyen e Isla del Tigre",-41.171430,-71.322693
"6202115040","6202115040","José Luckman y José Obrero",-41.171300,-71.318230
"6202115110","6202115110","Aguada de Guerra y Fita Ruin",-41.171258,-71.327035
