trip_id,start_time,end_time,headway_secs,exact_times
A01,5:30:00,06:24:00,405,1
A01,6:24:00,07:21:00,270,1
A01,7:21:00,10:00:00,216,1
A01,10:00:00,14:55:00,295,1
A01,14:55:00,19:55:00,216,1
A01,19:55:00,20:50:00,270,1
A01,20:50:00,23:00:00,463,1
A02,06:00:00,23:30:00,403,1
A03,08:00:00,22:08:00,463,1
B01,5:30:00,06:32:00,465,1
B01,6:32:00,07:34:00,310,1
B01,7:34:00,09:44:00,266,1
B01,9:44:00,15:18:00,338,1
B01,15:18:00,18:48:00,266,1
B01,18:48:00,21:00:00,372,1
B01,21:00:00,23:00:00,465,1
B02,06:00:00,23:22:00,443,1
B03,08:00:00,22:00:00,445,1
C02,06:00:00,23:41:00,336,1
C03,08:00:00,22:21:00,420,1
C01,5:30:00,06:00:00,305,1
C01,6:00:00,06:30:00,225,1
C01,6:30:00,10:15:00,195,1
C01,10:15:00,14:55:00,267,1
C01,14:55:00,20:10:00,195,1
C01,20:10:00,23:19:00,305,1
D02,06:00:00,23:24:00,420,1
D03,08:00:00,22:00:00,480,1
D01,5:30:00,06:41:00,420,1
D01,6:41:00,07:20:15,310,1
D01,7:20:15,10:13:30,244,1
D01,10:13:30,15:10:00,310,1
D01,15:10:00,18:35:00,244,1
D01,18:35:00,20:20:00,310,1
D01,20:20:00,23:00:00,420,1
E01,5:30:00,06:45:00,487,1
E01,6:45:00,10:05:00,433,1
E01,10:05:00,14:35:00,487,1
E01,14:35:00,18:55:00,433,1
E01,18:55:00,22:56:00,487,1
E02,06:00:00,23:26:00,555,1
E03,08:00:00,21:56:00,555,1
H01,5:30:00,06:07:00,440,1
H01,6:07:00,10:00:00,293,1
H01,10:00:00,14:54:00,330,1
H01,14:54:00,20:11:00,293,1
H01,20:11:00,23:30:00,440,1
H02,06:00:00,23:59:00,437,1
H03,08:00:00,22:29:59,437,1
A11,5:30:00,06:24:00,405,1
A11,6:24:00,07:21:00,270,1
A11,7:21:00,10:00:00,216,1
A11,10:00:00,14:55:00,295,1
A11,14:55:00,19:55:00,216,1
A11,19:55:00,20:50:00,270,1
A11,20:50:00,23:00:00,463,1
A12,06:00:00,23:30:00,403,1
A13,08:00:00,22:08:00,463,1
B11,5:30:00,06:32:00,465,1
B11,6:32:00,07:34:00,310,1
B11,7:34:00,09:44:00,266,1
B11,9:44:00,15:18:00,338,1
B11,15:18:00,18:48:00,266,1
B11,18:48:00,21:00:00,372,1
B11,21:00:00,23:00:00,465,1
B12,06:00:00,23:22:00,443,1
B13,08:00:00,22:00:00,445,1
C12,06:00:00,23:41:00,336,1
C13,08:00:00,22:21:00,420,1
C11,5:30:00,06:00:00,305,1
C11,6:00:00,06:30:00,225,1
C11,6:30:00,10:15:00,195,1
C11,10:15:00,14:55:00,267,1
C11,14:55:00,20:10:00,195,1
C11,20:10:00,23:19:00,305,1
D12,06:00:00,23:24:00,420,1
D13,08:00:00,22:00:00,480,1
D11,5:30:00,06:41:00,420,1
D11,6:41:00,07:20:15,310,1
D11,7:20:15,10:13:30,244,1
D11,10:13:30,15:10:00,310,1
D11,15:10:00,18:35:00,244,1
D11,18:35:00,20:20:00,310,1
D11,20:20:00,23:00:00,420,1
E11,5:30:00,06:45:00,487,1
E11,6:45:00,10:05:00,433,1
E11,10:05:00,14:35:00,487,1
E11,14:35:00,18:55:00,433,1
E11,18:55:00,22:56:00,487,1
E12,06:00:00,23:26:00,555,1
E13,08:00:00,21:56:00,555,1
H11,5:30:00,06:07:00,440,1
H11,6:07:00,10:00:00,293,1
H11,10:00:00,14:54:00,330,1
H11,14:54:00,20:11:00,293,1
H11,20:11:00,23:30:00,440,1
H12,06:00:00,23:59:00,437,1
H13,08:00:00,22:29:59,437,1
P1-01,5:30:00,21:00:00,1132,1
P1-02,6:00:00,21:07:00,1300,1
P1-03,8:00:00,21:00:00,1300,1
P1-11,5:30:00,21:00:00,1132,1
P1-12,6:00:00,21:07:00,1300,1
P1-13,8:00:00,21:00:00,1300,1
P2-01,5:30:00,21:00:00,1132,1
P2-02,6:00:00,21:07:00,1300,1
P2-03,8:00:00,21:00:00,1300,1
P2-11,5:30:00,21:00:00,1132,1
P2-12,6:00:00,21:07:00,1300,1
P2-13,8:00:00,21:00:00,1300,1


